Wavelength,LakeMcKenzieFraserIsland1,LakeMcKenzieFraserIsland2,LakeMcKenzieFraserIsland3,HillInletatNorthernEndofWhitehaven1,HillInletatNorthernEndofWhitehaven2,HillInletatNorthernEndofWhitehaven3,WhitehavenBeach1,WhitehavenBeach2,WhitehavenBeach3,HelfireBayCapeLeGrande1,HelfireBayCapeLeGrande2,HelfireBayCapeLeGrande3,LuckyBayCapeLeGrande1,LuckyBayCapeLeGrande2,LuckyBayCapeLeGrande3,MainBrombieIsland1,MainBrombieIsland2,MainBrombieIsland3,NSWHyamsBeach11,NSWHyamsBeach12,NSWHyamsBeach13,HyamsBeach21,HyamsBeach22,HyamsBeach23,BoatHarbourTas1,BoatHarbourTas2,BoatHarbourTas3,TalkbudgeaCkQLD1,TalkbudgeaCkQLD2,TalkbudgeaCkQLD3,SqueakyBchVIC1,SqueakyBchVIC2,SqueakyBchVIC3,NTBrambyIslandBch1NEArnhemLand1,NTBrambyIslandBch1NEArnhemLand2,NTBrambyIslandBch1NEArnhemLand3,LittleBchTwoPeoplesBayWASite1WashedZone1,LittleBchTwoPeoplesBayWASite1WashedZone2,LittleBchTwoPeoplesBayWASite1WashedZone3,LittleBchTwoPeoplesBayWASite4BackBch1,LittleBchTwoPeoplesBayWASite4BackBch2,LittleBchTwoPeoplesBayWASite4BackBch3,LittleBchTwoPeoplesBayWASite5MidBch1,LittleBchTwoPeoplesBayWASite5MidBch2,LittleBchTwoPeoplesBayWASite5MidBch3,LittleBchTwoPeoplesBayWASite610-20cm1,LittleBchTwoPeoplesBayWASite610-20cm2,LittleBchTwoPeoplesBayWASite610-20cm3
350,0.435771,0.466291,0.466291,0.380559,0.435771,0.466291,0.450093,0.443771,0.477155,0.504218,0.51054,0.477155,0.416709,0.51054,0.416709,0.357941,0.33315,0.352113,0.382831,0.357941,0.327322,0.357941,0.302432,0.357941,0.216206,0.222034,0.271814,0.357941,0.357941,0.357941,0.302432,0.33315,0.302432,0.166525,0.160698,0.246924,0.367225,0.455624,0.424116,0.455624,0.430141,0.424116,0.398634,0.424116,0.398634,0.398634,0.341742,0.398634
351,0.460642,0.453136,0.460642,0.409481,0.460642,0.453136,0.440691,0.485926,0.485926,0.539061,0.501728,0.493827,0.440691,0.493827,0.448592,0.340642,0.29916,0.382123,0.389333,0.347852,0.340642,0.347852,0.29916,0.347852,0.243358,0.209086,0.291951,0.347852,0.355062,0.355062,0.30637,0.30637,0.29916,0.153185,0.201876,0.236148,0.378074,0.413926,0.421432,0.421432,0.378074,0.421432,0.370568,0.413926,0.370568,0.370568,0.327309,0.370568
352,0.429318,0.388628,0.429318,0.381616,0.429318,0.388628,0.447687,0.454502,0.454502,0.500624,0.533116,0.493809,0.447687,0.493809,0.486994,0.318507,0.311791,0.325223,0.364036,0.35732,0.318507,0.35732,0.311791,0.35732,0.227547,0.259546,0.272978,0.35732,0.396035,0.396035,0.350604,0.350604,0.311791,0.175302,0.220831,0.188734,0.437811,0.405615,0.444626,0.444626,0.437811,0.444626,0.3988,0.405615,0.3988,0.3988,0.391986,0.3988
353,0.445205,0.427428,0.445205,0.405504,0.445205,0.405504,0.453007,0.43049,0.475524,0.516311,0.534581,0.493794,0.453007,0.516311,0.493794,0.330644,0.330644,0.262995,0.371432,0.371432,0.330644,0.348915,0.330644,0.348915,0.226454,0.26734,0.26734,0.393949,0.412219,0.434736,0.348915,0.371432,0.330644,0.185667,0.203937,0.208282,0.42091,0.403035,0.42091,0.442933,0.442933,0.42091,0.403035,0.403035,0.403035,0.425058,0.381011,0.403035
354,0.451119,0.451119,0.451119,0.417048,0.442527,0.417048,0.443811,0.425936,0.480054,0.516199,0.516199,0.489239,0.452995,0.507015,0.480054,0.341104,0.332019,0.25173,0.367966,0.377052,0.341104,0.341104,0.341104,0.350289,0.23346,0.269407,0.269407,0.4129,0.4129,0.448847,0.341104,0.367966,0.341104,0.197611,0.197611,0.224374,0.405691,0.414579,0.405691,0.440947,0.440947,0.405691,0.405691,0.414579,0.414579,0.440947,0.379323,0.405691
355,0.433038,0.433038,0.433038,0.402029,0.403313,0.402029,0.415657,0.444987,0.447653,0.479748,0.479748,0.478366,0.446369,0.449036,0.447653,0.339517,0.309792,0.305842,0.3409,0.370625,0.339517,0.339517,0.339517,0.369341,0.246194,0.277302,0.277302,0.401732,0.401732,0.43284,0.339517,0.3409,0.339517,0.215087,0.215087,0.216469,0.413682,0.444394,0.413682,0.445678,0.445678,0.413682,0.413682,0.444394,0.444394,0.445678,0.412299,0.413682
356,0.436684,0.436684,0.41802,0.389481,0.408244,0.408244,0.431253,0.441128,0.441128,0.507786,0.488826,0.488826,0.478951,0.478951,0.45999,0.320255,0.27473,0.310874,0.338327,0.36578,0.320255,0.338327,0.320255,0.347708,0.237895,0.265349,0.265349,0.393233,0.393233,0.420785,0.338327,0.356399,0.338327,0.210343,0.192272,0.192272,0.412293,0.422168,0.412293,0.422168,0.441128,0.431253,0.431253,0.422168,0.441128,0.422168,0.431253,0.412293
357,0.442013,0.442013,0.41614,0.399549,0.425422,0.41614,0.442013,0.43273,0.442013,0.510349,0.493758,0.484476,0.484476,0.484476,0.467886,0.31561,0.283812,0.31561,0.349285,0.365184,0.333386,0.349285,0.324498,0.349285,0.250039,0.274925,0.265938,0.390069,0.398957,0.414856,0.349285,0.365184,0.340397,0.216365,0.200466,0.209354,0.397476,0.397476,0.406857,0.406857,0.43273,0.43273,0.43273,0.406857,0.423447,0.41614,0.423447,0.41614
358,0.447243,0.447243,0.425518,0.424037,0.447243,0.424037,0.446453,0.424728,0.446453,0.493064,0.494446,0.47124,0.47124,0.472721,0.47124,0.321138,0.324002,0.321138,0.369428,0.369428,0.368045,0.368045,0.343851,0.368045,0.275614,0.296944,0.275614,0.39214,0.41347,0.414952,0.368045,0.366564,0.345234,0.228707,0.231571,0.251519,0.377031,0.378513,0.400238,0.403102,0.423444,0.421963,0.421963,0.401719,0.401719,0.423444,0.400238,0.423444
359,0.452674,0.452674,0.447835,0.432134,0.452674,0.432134,0.444083,0.439145,0.444083,0.485756,0.501753,0.480818,0.480818,0.496717,0.480818,0.317188,0.348294,0.317188,0.389177,0.389177,0.373575,0.373575,0.337629,0.373575,0.276305,0.281144,0.276305,0.409619,0.414458,0.43006,0.373575,0.358071,0.353133,0.219918,0.251025,0.240261,0.38503,0.400435,0.405175,0.435985,0.425419,0.410014,0.410014,0.42058,0.42058,0.425419,0.405175,0.425419
