Longitude,Latitude,Year,Month,Day,Depth,Chlorophyll
10.8022,55.066,2015,1,5,1.0,1.73
10.567,55.4517,2015,1,5,1.0,4.31
9.0758,56.6208,2015,1,5,1.0,1.3
10.5192,55.4792,2015,1,5,1.0,1.84
9.2925,56.5958,2015,1,5,1.0,16.0
11.1702,55.4612,2015,1,5,1.0,2.4
10.8622,55.5077,2015,1,5,1.0,1.5
8.4148,56.601,2015,1,5,1.0,1.1
12.4233,55.4933,2015,1,6,1.0,0.4
10.5322,55.6027,2015,1,6,1.0,2.23
9.9153,57.6078,2015,1,6,1.0,0.4
11.678,55.1968,2015,1,6,1.0,1.5
9.0625,56.954,2015,1,6,1.0,1.2
9.6292,57.035,2015,1,6,1.0,0.5
11.2822,55.2483,2015,1,6,1.0,1.3
10.0903,55.6743,2015,1,6,1.0,0.7
11.4643,55.2053,2015,1,6,1.0,1.0
11.687,57.667,2015,1,7,0.5,1.2
12.2955,54.976,2015,1,7,1.0,2.46
9.5283,55.4927,2015,1,7,1.0,0.7
9.722,55.429,2015,1,7,1.0,1.3
10.5163,56.867,2015,1,7,1.0,1.7
9.561,56.9417,2015,1,7,0.6,15.0
10.0752,55.166,2015,1,7,1.0,3.53
10.7917,56.8567,2015,1,7,1.0,1.6
11.7705,55.0685,2015,1,7,1.0,3.1
11.403,58.343,2015,1,7,0.5,1.9
11.24,58.353,2015,1,7,0.5,0.75
11.103,58.868,2015,1,7,0.5,0.75
20.32,58.88,2015,1,8,0.0,0.3
10.7717,55.2977,2015,1,8,0.5,0.8
10.3687,56.2427,2015,1,8,1.0,0.8
11.627,58.393,2015,1,8,0.5,0.8
10.3187,56.1547,2015,1,8,1.0,1.2
9.533,55.2497,2015,1,8,1.0,1.8
10.3913,56.0442,2015,1,8,1.0,0.3
12.067,55.713,2015,1,8,1.0,0.8
9.5868,55.3665,2015,1,8,1.0,0.9
11.58,58.23,2015,1,8,0.5,0.36
18.23,58.58,2015,1,8,0.0,0.2
10.3085,56.9895,2015,1,8,0.0,2.8
11.81,58.1092,2015,1,8,0.5,0.72
17.98,58.02,2015,1,8,0.0,0.2
11.907,57.692,2015,1,8,0.5,0.68
17.67,57.12,2015,1,8,0.0,0.2
14.87,55.62,2015,1,9,0.0,0.7
12.75,55.867,2015,1,10,0.0,1.4
12.517,56.127,2015,1,10,0.0,1.8
12.37,56.23,2015,1,10,0.0,2.5
12.72,56.565,2015,1,10,0.0,2.3
12.2117,56.94,2015,1,12,0.0,1.1
11.758,56.958,2015,1,12,0.0,0.7
11.67,57.192,2015,1,12,0.0,0.8
12.117,56.667,2015,1,12,0.0,1.8
12.22,56.57,2015,1,12,0.0,1.9
13.3,55.0,2015,1,13,0.0,1.1
10.2568,55.0755,2015,1,13,1.0,3.85
-6.684,55.1487,2015,1,13,1.0,10.28
14.08,55.0,2015,1,13,0.0,1.5
10.3743,55.0628,2015,1,13,0.5,3.6
11.8273,54.7093,2015,1,13,1.0,1.8
9.9072,55.851,2015,1,13,1.0,1.1
12.05,57.407,2015,1,13,0.0,1.9
12.107,57.137,2015,1,13,0.0,1.3
18.4,55.555,2015,1,14,0.0,0.4
11.2822,55.2483,2015,1,14,1.0,1.3
11.4643,55.2053,2015,1,14,1.0,4.7
19.58,56.63,2015,1,14,0.0,0.4
20.05,57.33,2015,1,14,0.0,0.3
19.88,58.0,2015,1,15,0.0,0.3
-117.308,32.958,2015,1,15,1.99,0.37
-117.283,32.955,2015,1,15,1.99,0.34
-117.465,33.245,2015,1,16,1.99,0.44
-117.395,32.912,2015,1,16,1.99,0.33
-117.532,32.845,2015,1,16,1.99,0.19
-117.873,32.68,2015,1,16,1.99,0.2
-118.215,32.513,2015,1,17,1.99,0.2
-118.557,32.348,2015,1,17,1.99,0.11
-118.895,32.177,2015,1,17,1.99,0.11
-119.233,32.01,2015,1,17,1.99,0.13
-119.57,31.847,2015,1,17,1.99,0.1
-120.25,31.512,2015,1,17,1.99,0.11
-120.925,31.182,2015,1,18,1.99,0.1
-121.59,30.847,2015,1,18,1.99,0.12
-122.265,30.515,2015,1,18,1.99,0.09
-122.925,30.182,2015,1,18,1.99,0.11
-123.587,29.848,2015,1,19,1.99,0.09
11.8572,55.9978,2015,1,19,1.0,3.7
10.7028,54.8858,2015,1,19,1.0,1.82
11.51,54.8753,2015,1,19,1.0,0.3
-5.5972,54.467,2015,1,19,1.0,0.52
-124.0,30.42,2015,1,19,1.99,0.11
9.561,56.9417,2015,1,19,0.6,8.4
8.351,55.3375,2015,1,19,1.0,2.33
21.9532,60.2557,2015,1,19,0.0,1.2
8.2107,56.3433,2015,1,19,1.0,6.3
11.8723,54.6272,2015,1,19,1.0,2.91
-8.768,51.633,2015,1,19,0.0,2.8
-8.7628,51.6445,2015,1,19,0.0,1.2
-8.7627,51.6417,2015,1,19,0.0,4.2
8.5763,55.0938,2015,1,19,1.0,0.6
-8.6725,51.6258,2015,1,19,0.0,0.9
-8.6738,51.6423,2015,1,19,0.0,1.3
-8.6735,51.636,2015,1,19,0.0,1.0
-8.686,51.6382,2015,1,19,0.0,1.8
-8.6963,51.6357,2015,1,19,0.0,2.2
-8.7102,51.6355,2015,1,19,0.0,3.6
-8.7163,51.6397,2015,1,19,0.0,2.2
-8.7368,51.6382,2015,1,19,0.0,3.9
-8.7518,51.6453,2015,1,19,0.0,5.9
-8.7368,51.6382,2015,1,19,0.0,3.1
-8.7627,51.6417,2015,1,19,0.0,3.5
-8.7628,51.6445,2015,1,19,0.0,3.2
-123.332,30.753,2015,1,19,1.99,0.13
-122.663,31.085,2015,1,19,1.99,0.1
-121.995,31.418,2015,1,20,1.99,0.1
